A,2018-08-18 00:01:00
B,2018-08-18 00:01:00
C,2018-08-18 00:01:00
D,2018-08-18 00:01:00
D,2018-08-18 00:02:00
A,2018-08-18 00:02:00
B,2018-08-18 00:02:00
C,2018-08-18 00:02:00
A,2018-08-18 00:03:00
B,2018-08-18 00:03:00
C,2018-08-18 00:03:00
A,2018-08-18 00:04:00
B,2018-08-18 00:04:00
C,2018-08-18 00:04:00
A,2018-08-18 00:05:00
B,2018-08-18 00:05:00
C,2018-08-18 00:05:00
A,2018-08-18 00:06:00
B,2018-08-18 00:06:00
C,2018-08-18 00:06:00
A,2018-08-18 00:07:00
C,2018-08-18 00:07:00
A,2018-08-18 00:08:00
B,2018-08-18 00:08:00
C,2018-08-18 00:08:00
A,2018-08-18 00:09:00
B,2018-08-18 00:09:00
C,2018-08-18 00:09:00
A,2018-08-18 00:10:00
B,2018-08-18 00:10:00
C,2018-08-18 00:10:00
A,2018-08-18 00:11:00
B,2018-08-18 00:11:00
A,2018-08-18 00:12:00
B,2018-08-18 00:12:00
C,2018-08-18 00:12:00
A,2018-08-18 00:13:00
B,2018-08-18 00:13:00
C,2018-08-18 00:13:00
A,2018-08-18 00:14:00
B,2018-08-18 00:14:00
C,2018-08-18 00:14:00
A,2018-08-18 00:15:00
B,2018-08-18 00:15:00
C,2018-08-18 00:15:00
A,2018-08-18 00:16:00
B,2018-08-18 00:16:00
C,2018-08-18 00:16:00
